statefp,state_name,X,Y,shapeid
23,Maine,-67.116745,44.706106,23121
23,Maine,-67.16985699999998,44.662105,23121
23,Maine,-67.234275,44.63720099999999,23121
23,Maine,-67.293403,44.599264999999995,23121
23,Maine,-67.368269,44.624672,23121
23,Maine,-67.39898699999999,44.60263099999999,23121
23,Maine,-67.44851299999998,44.600322,23121
23,Maine,-67.49175099999998,44.556123,23121
23,Maine,-67.52116799999999,44.50990999999999,23121
23,Maine,-67.503208,44.476918,23121
23,Maine,-67.579726,44.429131,23121
23,Maine,-67.634806,44.487054,23121
23,Maine,-67.653123,44.525822999999995,23121
23,Maine,-67.70667999999999,44.501974999999995,23121
23,Maine,-67.793589,44.494779,23121
23,Maine,-67.837938,44.46467,23121
23,Maine,-67.85510799999999,44.419433999999995,23121
23,Maine,-67.899571,44.394078,23121
23,Maine,-67.936531,44.411187,23121
23,Maine,-67.94384395705521,44.407015790843005,23121
23,Maine,-67.978876,44.387034,23121
23,Maine,-68.01398999999999,44.39025499999999,23121
23,Maine,-68.049334,44.330729999999996,23121
23,Maine,-68.103757,44.364362,23121
23,Maine,-68.12562399999999,44.387127,23121
23,Maine,-68.189155,44.37383299999999,23121
23,Maine,-68.173608,44.328396999999995,23121
23,Maine,-68.191924,44.30667499999999,23121
23,Maine,-68.22949,44.266918,23121
23,Maine,-68.17433,44.225908,23121
23,Maine,-68.306519,44.234829,23121
23,Maine,-68.31478899999999,44.19715699999999,23121
23,Maine,-68.331032,44.10758,23121
23,Maine,-68.438518,44.11617999999999,23121
23,Maine,-68.50294199999999,44.099722,23121
23,Maine,-68.5314142023518,44.0898523802565,23121
23,Maine,-68.584101,44.071588999999996,23121
23,Maine,-68.617085,44.010096999999995,23121
23,Maine,-68.657031,44.003823,23121
23,Maine,-68.669383,44.076359,23121
23,Maine,-68.77965,44.057753999999996,23121
23,Maine,-68.87413899999999,44.025358999999995,23121
23,Maine,-68.905098,44.077344,23121
23,Maine,-68.935327,44.130379999999995,23121
23,Maine,-68.88859699999999,44.15954999999999,23121
23,Maine,-68.93497643176178,44.20290747393729,23121
23,Maine,-68.95188999999999,44.218719,23121
23,Maine,-69.0210745450046,44.2304353141229,23121
23,Maine,-69.040193,44.233672999999996,23121
23,Maine,-69.054546,44.171541999999995,23121
23,Maine,-69.075667,44.129991,23121
23,Maine,-69.03187799999999,44.079035999999995,23121
23,Maine,-69.068112,44.039767999999995,23121
23,Maine,-69.04391199999999,44.006336,23121
23,Maine,-69.07702799999998,43.973653999999996,23121
23,Maine,-69.131536,43.976088999999995,23121
23,Maine,-69.17497999999999,43.976949,23121
23,Maine,-69.21293899999998,43.921403999999995,23121
23,Maine,-69.242812,43.918817999999995,23121
23,Maine,-69.279918,43.879579,23121
23,Maine,-69.32103099999999,43.856708,23121
23,Maine,-69.35457699999999,43.917764999999996,23121
23,Maine,-69.3804897193431,43.94364023355649,23121
23,Maine,-69.39328799999998,43.95642,23121
23,Maine,-69.422048,43.92304699999999,23121
23,Maine,-69.43806599999999,43.909538999999995,23121
23,Maine,-69.50328999999999,43.837672999999995,23121
23,Maine,-69.552606,43.841347,23121
23,Maine,-69.578527,43.823316,23121
23,Maine,-69.650818,43.803785,23121
23,Maine,-69.6958154562599,43.7960549672913,23121
23,Maine,-69.717074,43.792403,23121
23,Maine,-69.754091,43.743866,23121
23,Maine,-69.80735899999999,43.728080999999996,23121
23,Maine,-69.833471,43.701280999999994,23121
23,Maine,-69.85508099999998,43.704746,23121
23,Maine,-69.862155,43.758962,23121
23,Maine,-69.88740612415769,43.7665933794518,23121
23,Maine,-69.915593,43.775112,23121
23,Maine,-69.983685,43.744395,23121
23,Maine,-70.001273,43.710387999999995,23121
23,Maine,-70.0627766602365,43.713359946512796,23121
23,Maine,-70.071304,43.713772,23121
23,Maine,-70.09603899999999,43.672276,23121
23,Maine,-70.16822699999999,43.675135999999995,23121
23,Maine,-70.190704,43.645582,23121
23,Maine,-70.21708699999999,43.596717,23121
23,Maine,-70.20612299999999,43.557627,23121
23,Maine,-70.245499,43.539635,23121
23,Maine,-70.32111599999999,43.527262,23121
23,Maine,-70.3387374772484,43.52810927936889,23121
23,Maine,-70.361214,43.52919,23121
23,Maine,-70.385615,43.48703099999999,23121
23,Maine,-70.327303,43.45852099999999,23121
23,Maine,-70.38398099999999,43.41294,23121
23,Maine,-70.41631099999998,43.361059,23121
23,Maine,-70.465975,43.34024599999999,23121
23,Maine,-70.517695,43.344037,23121
23,Maine,-70.5341490659506,43.3339572407458,23121
23,Maine,-70.55385399999999,43.321886,23121
23,Maine,-70.585184,43.270112999999995,23121
23,Maine,-70.576986634166,43.2280191731452,23121
23,Maine,-70.57578699999999,43.221858999999995,23121
23,Maine,-70.59618499999999,43.163466,23121
23,Maine,-70.62250999999999,43.134572999999996,23121
23,Maine,-70.665958,43.076234,23121
23,Maine,-70.703818,43.059825,23121
23,Maine,-70.75639699999998,43.079988,23121
23,Maine,-70.81954928571301,43.1232309734312,23121
23,Maine,-70.8281,43.129085999999994,23121
23,Maine,-70.824801,43.17968499999999,23121
23,Maine,-70.8247767120681,43.179763105182204,23121
23,Maine,-70.813119,43.21725199999999,23121
23,Maine,-70.872585,43.27015199999999,23121
23,Maine,-70.923949,43.324768,23121
23,Maine,-70.984335,43.376128,23121
23,Maine,-70.96835899999999,43.429283,23121
23,Maine,-70.960788896047,43.47408873362159,23121
23,Maine,-70.95475499999999,43.509802,23121
23,Maine,-70.9637926798064,43.5402209553665,23121
23,Maine,-70.97271599999998,43.57025499999999,23121
23,Maine,-70.981946,43.700959999999995,23121
23,Maine,-70.987258046746,43.792973592884195,23121
23,Maine,-70.989929,43.839239,23121
23,Maine,-71.001367,44.092931,23121
23,Maine,-71.008736,44.258824999999995,23121
23,Maine,-71.0102711678683,44.284888321572,23121
23,Maine,-71.01127,44.301846,23121
23,Maine,-71.0135759038146,44.3408374525595,23121
23,Maine,-71.0194617294855,44.44036323978749,23121
23,Maine,-71.022992,44.500057999999996,23121
23,Maine,-71.03670499999998,44.73649799999999,23121
23,Maine,-71.057861,45.000049,23121
23,Maine,-71.083924,45.305451,23121
15,Hawaii,-156.04965099999995,19.780451999999997,15111
15,Hawaii,-156.00626699999998,19.81758,15111
15,Hawaii,-155.976651,19.850529999999996,15111
15,Hawaii,-155.949251,19.857034,15111
15,Hawaii,-155.915662,19.887126,15111
15,Hawaii,-155.89253300000001,19.932161999999998,15111
15,Hawaii,-155.856588,19.968885,15111
15,Hawaii,-155.831948,19.982775,15111
15,Hawaii,-155.825473,20.025944,15111
15,Hawaii,-155.850385,20.062506,15111
15,Hawaii,-155.890646,20.123576,15111
15,Hawaii,-155.90278,20.177073,15111
15,Hawaii,-155.890663,20.25524,15111
15,Hawaii,-155.853293,20.271548,15111
15,Hawaii,-155.798884,20.254115,15111
15,Hawaii,-155.737004,20.222773,15111
15,Hawaii,-155.704331,20.191695,15111
15,Hawaii,-155.637459,20.153050999999998,15111
15,Hawaii,-155.598033,20.124539,15111
15,Hawaii,-155.558933,20.13157,15111
