Date,state_name,ZHVI_3bedroom,ZHVIPerSqft_AllHomes,ZHVI_TopTier,ZHVI_AllHomes,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_4bedroom,ZHVI_BottomTier,ZHVI_5BedroomOrMore,ZHVI_2bedroom,ZHVI_CondoCoop,ZHVI_1bedroom
2000-01-31,Alabama,91600,56,160200,90900,90900,90300,169500,49400,234500,56000,108100,65400
2000-01-31,Alaska,171600,116,239100,171900,171900,179500,216500,128200,274400,122400,123000,91900
2000-01-31,Arizona,118100,74,205200,122900,122900,127400,155500,80200,230900,103000,92000,70300
2000-01-31,Arkansas,85400,46,127400,71100,71100,71100,148200,41500,226200,60700,82700,60900
2000-01-31,California,187800,130,384200,201300,201300,206000,255300,113700,349700,155800,179000,120900
2000-01-31,Colorado,165100,108,279100,165200,165200,171700,227300,110700,269800,131800,131100,101800
2000-01-31,Connecticut,154900,102,296300,157000,157000,167200,242700,96300,388000,112700,96800,72600
2000-01-31,Delaware,116400,80,192100,120600,120600,121000,181400,79800,211800,93400,NA,84400
2000-01-31,DistrictofColumbia,130500,120,312100,136200,136200,156100,200500,84400,499800,137700,129900,113800
2000-01-31,Florida,105100,66,185400,101400,101400,109400,156300,59800,242000,74700,80300,49800
2000-01-31,Georgia,109400,68,206300,115800,115800,115300,181700,70000,261100,82000,122600,111200
2000-01-31,Hawaii,213800,165,356100,210200,210200,249700,280300,111000,325400,165400,151700,129400
2000-01-31,Idaho,109600,72,176500,112400,112400,112600,136300,79900,163500,83700,101900,74000
2000-01-31,Illinois,126900,99,229900,129500,129500,129600,203400,71100,264500,104600,128000,99900
2000-01-31,Indiana,91800,61,147500,87900,87900,87400,NA,55800,147100,62800,101300,51000
2000-01-31,Iowa,86600,67,127600,73900,73900,72900,104300,56400,NA,69700,97500,61900
2000-01-31,Kentucky,97600,67,163100,91900,91900,91500,158900,57600,184000,77300,97600,63400
2000-01-31,Louisiana,106200,NA,140300,NA,NA,NA,NA,55600,NA,NA,NA,NA
2000-01-31,Maine,124100,86,201600,115800,115800,116300,151800,71300,187400,106900,111400,NA
2000-01-31,Maryland,127100,91,236600,136300,136300,143100,189700,79300,264200,95300,113900,79000
2000-01-31,Massachusetts,182400,121,322900,185800,185800,193100,268100,116900,355600,145400,149900,118400
2000-01-31,Michigan,129500,91,194800,112400,112400,109400,216000,64600,208100,97600,146500,80800
2000-01-31,Minnesota,131600,101,200700,126600,126600,127700,164600,81700,210100,110700,116000,78500
2000-01-31,Mississippi,80900,46,130700,73400,73400,73400,142400,42900,145400,NA,NA,NA
2000-01-31,Missouri,113000,77,178600,104900,104900,105800,185500,64600,234300,76000,92200,58900
2000-01-31,Montana,104600,79,142000,99200,99200,100000,115000,69700,132800,80500,91200,68100
2000-01-31,Nebraska,106600,73,162600,100000,100000,99800,160100,62800,132400,75900,102800,64800
2000-01-31,Nevada,133600,84,216200,138100,138100,147500,169600,96900,235700,102500,93800,NA
2000-01-31,NewHampshire,139000,81,206200,129500,129500,137700,182600,80700,201400,102200,100100,68100
2000-01-31,NewJersey,151100,99,283100,163100,163100,166600,218100,97700,275600,124200,112300,97100
2000-01-31,NewMexico,120200,76,198800,137400,137400,137800,159100,96700,200600,96900,NA,NA
2000-01-31,NewYork,90300,NA,NA,NA,NA,NA,NA,67900,191300,74400,NA,NA
2000-01-31,NorthCarolina,112600,72,199100,113700,113700,114200,186800,65500,233300,76400,108600,71400
2000-01-31,Ohio,102600,71,173800,102900,102900,103700,161200,62600,177300,74400,95200,58100
2000-01-31,Oklahoma,69100,46,121700,66100,66100,66300,123100,36700,143400,37500,49000,33600
2000-01-31,Oregon,144600,98,228000,145500,145500,146600,189000,99700,221200,115100,130700,101400
2000-01-31,Pennsylvania,92700,67,167000,91200,91200,97900,168100,49800,160500,75500,56200,64200
2000-01-31,RhodeIsland,131100,94,211400,129100,129100,131400,180800,91600,238900,108600,104000,85100
2000-01-31,SouthCarolina,106100,66,186000,96200,96200,94700,172200,54100,NA,75900,109400,75900
2000-01-31,SouthDakota,99700,78,153700,99700,99700,99700,115300,71700,152900,83200,104500,61500
2000-01-31,Tennessee,100000,59,164400,85800,85800,84900,177400,47700,254200,65100,105500,65000
2000-01-31,Texas,89700,55,170900,94400,94400,95100,150500,NA,NA,NA,NA,NA
2000-01-31,Utah,148800,109,235000,154200,154200,158000,167700,117400,208900,121700,134200,NA
2000-01-31,Vermont,121600,75,166200,NA,NA,NA,145800,NA,162000,99200,105900,88800
2000-01-31,Virginia,115100,78,236700,125900,125900,125900,192500,74100,268700,84800,126500,81100
2000-01-31,Washington,165500,102,276700,164300,164300,166800,220000,101800,256000,132200,145700,115900
2000-01-31,WestVirginia,61100,41,89000,48700,48700,48300,80600,NA,90700,NA,71600,NA
2000-01-31,Wisconsin,114600,79,176700,113600,113600,113800,142800,76800,165200,90000,111100,81000
2000-01-31,Wyoming,NA,78,NA,104000,104000,103900,117100,79200,NA,NA,101200,NA
2000-02-29,Alabama,91800,56,160300,91000,91000,90100,169900,49100,235000,56100,108800,65000
2000-02-29,Alaska,170600,115,237300,170700,170700,178500,215400,126900,272000,121200,122100,91100
2000-02-29,Arizona,118900,74,206700,124000,124000,128600,157100,80700,232800,103700,92500,70900
2000-02-29,Arkansas,85700,46,127300,71300,71300,71300,148200,41400,225800,60400,83400,61000
2000-02-29,California,190200,132,390100,204200,204200,208900,258300,115000,353900,158000,181400,122700
2000-02-29,Colorado,166600,109,281700,166900,166900,173400,229500,111800,271600,133100,132000,102700
2000-02-29,Connecticut,156400,103,299700,158700,158700,168900,245200,97400,391500,113800,97800,73400
2000-02-29,Delaware,117300,80,193500,121800,121800,121900,182800,80300,213200,93600,NA,84400
2000-02-29,DistrictofColumbia,132200,122,320000,137900,137900,157500,204400,85100,510600,140100,132000,116200
2000-02-29,Florida,105900,67,186800,102300,102300,110400,157400,60100,243500,75200,80900,50200
2000-02-29,Georgia,110400,68,207900,116900,116900,116500,182600,70600,262600,82600,123600,112200
2000-02-29,Hawaii,214700,167,357400,211100,211100,250800,281600,111500,326300,166600,152500,129700
2000-02-29,Idaho,109600,71,178100,112400,112400,112600,136200,79900,164400,83400,101400,74000
2000-02-29,Illinois,127800,100,231500,130200,130200,130200,204700,71400,266500,105300,129300,100900
2000-02-29,Indiana,92300,61,148100,88400,88400,87900,NA,55600,147300,62800,101500,50900
2000-02-29,Iowa,86800,67,128200,73300,73300,72300,104600,55700,NA,69100,98000,61500
2000-02-29,Kentucky,98400,68,164100,92500,92500,92100,159800,58100,184400,77800,98500,63800
2000-02-29,Louisiana,105600,NA,140600,NA,NA,NA,NA,55900,NA,NA,NA,NA
2000-02-29,Maine,125000,87,203800,116600,116600,117200,153500,71900,189000,107400,112200,NA
2000-02-29,Maryland,127600,91,238600,137000,137000,144000,191000,79700,266200,95900,114600,79200
2000-02-29,Massachusetts,184500,123,326900,188100,188100,195400,271500,118400,360300,147100,151900,120300
2000-02-29,Michigan,130400,92,196200,113500,113500,110300,217200,65300,209600,98300,147700,81600
2000-02-29,Minnesota,132900,102,202500,127500,127500,128900,166100,82100,212200,112000,116900,79600
2000-02-29,Mississippi,81000,47,131400,73800,73800,73900,142400,43100,145800,NA,NA,NA
2000-02-29,Missouri,114100,77,179500,105800,105800,106900,186500,65300,235500,76700,92900,59200
2000-02-29,Montana,104900,80,142300,99600,99600,100300,114900,70000,133200,80900,91000,68500
2000-02-29,Nebraska,107200,74,163200,100300,100300,100400,160800,62900,132500,76200,102900,64700
2000-02-29,Nevada,134400,84,217500,138900,138900,148000,169900,97500,237000,103300,94400,NA
2000-02-29,NewHampshire,141600,83,209200,131800,131800,140400,185400,81700,204100,104100,102000,69000
2000-02-29,NewJersey,152400,100,286100,164400,164400,167800,220100,98400,278700,124900,113200,97900
2000-02-29,NewMexico,119900,76,199500,137500,137500,138000,160000,97000,201400,96700,NA,NA
2000-02-29,NewYork,90800,NA,NA,NA,NA,NA,NA,68300,193300,74700,NA,NA
2000-02-29,NorthCarolina,113200,73,200000,114200,114200,114700,187800,65600,234500,76700,108900,71400
2000-02-29,Ohio,103200,72,174700,103300,103300,104300,161900,63000,178300,74900,95800,58500
2000-02-29,Oklahoma,69400,46,122200,66400,66400,66500,123600,36700,144200,37600,49100,33600
2000-02-29,Oregon,145000,98,228600,146100,146100,147000,189300,100100,221700,115600,131200,101700
2000-02-29,Pennsylvania,93200,67,168000,91700,91700,98600,169000,49900,161300,75800,56400,64400
2000-02-29,RhodeIsland,133000,96,214800,131100,131100,133500,183600,92900,242700,110300,105700,86500
2000-02-29,SouthCarolina,106500,65,187000,96800,96800,95200,172900,54100,NA,76100,109600,75700
2000-02-29,SouthDakota,100100,79,154000,99900,99900,99900,115600,71800,153400,83700,103500,61700
2000-02-29,Tennessee,100400,58,165000,86200,86200,85300,178200,47900,255500,65400,106100,65300
2000-02-29,Texas,89600,55,171200,94400,94400,95200,150700,NA,NA,NA,NA,NA
2000-02-29,Utah,149300,109,236800,154700,154700,158400,168400,118000,209800,121800,134900,NA
2000-02-29,Vermont,123300,76,168000,NA,NA,NA,147300,NA,163400,100500,105900,90800
2000-02-29,Virginia,115800,79,238800,126800,126800,126700,194200,74500,271100,85500,127400,81700
2000-02-29,Washington,166400,102,278800,165200,165200,167600,221300,102000,257500,133300,146600,116500
2000-02-29,WestVirginia,61300,42,89400,48700,48700,48400,81000,NA,91000,NA,72200,NA
2000-02-29,Wisconsin,115100,79,177500,114100,114100,114200,143100,78000,165500,90500,111900,81700
2000-02-29,Wyoming,NA,79,NA,105100,105100,105200,117100,79400,NA,NA,101900,NA
2000-03-31,Alabama,92000,56,160800,90900,90900,90000,170600,49000,235700,56000,109500,64800
2000-03-31,Alaska,170000,114,236800,169800,169800,177500,214500,125800,271300,120200,121300,90100
2000-03-31,Arizona,119800,75,208600,125100,125100,129900,160000,81100,235000,104300,92800,71700
2000-03-31,Arkansas,85900,47,127300,71600,71600,71600,148300,41300,226000,60500,84000,61200
2000-03-31,California,192500,133,396100,206900,206900,211800,261500,116100,357800,160200,183900,124200
2000-03-31,Colorado,168300,110,284400,168500,168500,175000,231700,113000,273800,134400,133000,103800
2000-03-31,Connecticut,157800,104,302700,159900,159900,170400,247600,98200,395400,114800,98800,74300
2000-03-31,Delaware,117800,81,195400,122700,122700,122600,183800,80600,214800,93900,NA,85000
2000-03-31,DistrictofColumbia,133600,124,328300,139200,139200,158100,208400,85800,521900,142400,133900,119000
2000-03-31,Florida,106800,67,188200,102800,102800,111300,158600,60600,245500,75600,81500,50500
2000-03-31,Georgia,111300,69,209400,117800,117800,117300,183500,70900,264100,83000,124600,113100
2000-03-31,Hawaii,216300,168,359100,212200,212200,252400,282700,112700,326800,167900,153300,129900
2000-03-31,Idaho,110100,72,180200,112800,112800,113100,136700,80000,165300,83700,101400,74700
2000-03-31,Illinois,128700,100,233000,131000,131000,130900,206100,71700,268100,105900,130900,102200
2000-03-31,Indiana,92700,62,149100,88900,88900,88600,NA,55700,148000,63100,102200,51200
2000-03-31,Iowa,87000,68,129000,73200,73200,72100,105100,55100,NA,68900,98500,61400
2000-03-31,Kentucky,99000,68,164700,93000,93000,92600,160700,58200,185400,78000,99000,64300
2000-03-31,Louisiana,106000,NA,140700,NA,NA,NA,NA,55800,NA,NA,NA,NA
2000-03-31,Maine,125700,88,205100,117500,117500,118000,155200,72500,190800,107600,113500,NA
2000-03-31,Maryland,128300,92,240200,137700,137700,144700,192000,80000,268100,96400,115300,79600
2000-03-31,Massachusetts,187100,125,331200,190400,190400,198200,275100,119600,365400,149100,154200,122300
2000-03-31,Michigan,131300,93,197400,114400,114400,111100,218700,66300,211100,98900,148800,82400
2000-03-31,Minnesota,134100,103,204500,128500,128500,130100,167800,83000,214200,113200,118100,81100
2000-03-31,Mississippi,81100,47,131900,74100,74100,74100,142000,43200,145900,NA,NA,NA
2000-03-31,Missouri,115300,78,181100,106700,106700,108000,187900,66000,237300,77000,93500,59900
2000-03-31,Montana,105000,80,142400,99700,99700,100600,114900,69700,133400,81000,91100,68300
2000-03-31,Nebraska,107900,74,163800,100900,100900,100800,161200,63100,132400,76600,103100,64800
2000-03-31,Nevada,135000,85,218300,139300,139300,148400,170300,97900,238300,104000,94900,NA
2000-03-31,NewHampshire,143600,84,211900,133500,133500,142400,187600,82600,206900,105400,103100,69600
2000-03-31,NewJersey,153600,101,289100,165800,165800,169300,222200,99000,281900,126000,114400,99100
2000-03-31,NewMexico,120100,76,199600,136600,136600,137100,160300,97800,202300,97500,NA,NA
2000-03-31,NewYork,91200,NA,NA,NA,NA,NA,NA,68700,195200,75100,NA,NA
2000-03-31,NorthCarolina,113600,73,200900,114600,114600,115000,189000,65800,235700,77000,109200,71500
2000-03-31,Ohio,103700,72,175600,103800,103800,104800,162700,63400,179200,75400,96300,58900
2000-03-31,Oklahoma,69600,47,122600,66600,66600,66900,124100,36800,145100,37700,49400,33700
2000-03-31,Oregon,145400,98,229600,146700,146700,147400,189800,100700,222400,116000,131900,101900
2000-03-31,Pennsylvania,93700,68,168900,92200,92200,99100,169800,49900,162300,76100,56600,64700
2000-03-31,RhodeIsland,135000,97,218600,133200,133200,135300,186500,94000,247200,112000,107100,87800
2000-03-31,SouthCarolina,107200,65,187900,97200,97200,95800,174000,54200,NA,76400,109900,75600
2000-03-31,SouthDakota,100900,79,154500,100500,100500,100400,116100,72200,153700,84600,102600,62200
2000-03-31,Tennessee,100600,59,165700,86700,86700,85700,178600,48100,256900,65500,106500,65500
2000-03-31,Texas,89400,56,171300,94500,94500,95400,150400,NA,NA,NA,NA,NA
2000-03-31,Utah,150000,110,238100,155400,155400,159000,168900,118400,210600,122100,135200,NA
2000-03-31,Vermont,124900,77,170800,NA,NA,NA,149000,NA,164400,101800,106900,92000
2000-03-31,Virginia,116500,79,240600,127800,127800,127400,195800,74900,273600,86000,128200,82200
2000-03-31,Washington,167400,103,280400,166300,166300,168400,222400,102500,258700,134200,147500,117400
2000-03-31,WestVirginia,61600,42,89500,48700,48700,48400,81100,NA,90700,NA,72900,NA
2000-03-31,Wisconsin,115800,80,178900,114900,114900,115100,144400,79100,166800,91200,112700,82800
2000-03-31,Wyoming,NA,79,NA,106600,106600,106900,117500,79600,NA,NA,102600,NA
2000-04-30,Alabama,92300,56,161300,91200,91200,90500,171500,49100,236900,56100,110600,64900
2000-04-30,Alaska,170500,115,237600,170300,170300,177600,214100,126200,272900,120400,121700,89800
2000-04-30,Arizona,120700,76,210400,125900,125900,130800,162000,81400,237200,104800,93200,72200
2000-04-30,Arkansas,86100,47,127600,71600,71600,71700,148800,41400,227200,60900,84000,61500
2000-04-30,California,194800,135,402200,209600,209600,214600,264700,117300,362000,162300,186600,125700
2000-04-30,Colorado,170000,111,287000,170000,170000,176600,233800,114100,276100,135800,134600,105300
2000-04-30,Connecticut,158600,105,305200,160700,160700,171600,249900,98700,399600,115500,99800,74900
2000-04-30,Delaware,118100,82,197600,123200,123200,123400,184700,80900,216000,94100,NA,86300
2000-04-30,DistrictofColumbia,135200,126,336400,140900,140900,159600,212900,86600,532300,144600,136000,121600
2000-04-30,Florida,107400,68,189700,103500,103500,111900,159600,61000,247900,76000,81900,50800
2000-04-30,Georgia,112000,69,210700,118400,118400,117900,184500,71100,266100,83600,125800,114000
2000-04-30,Hawaii,217900,169,361000,213600,213600,253300,283500,114100,327100,168400,154000,130100
2000-04-30,Idaho,110500,72,181200,113300,113300,113600,136900,79900,165600,83800,102100,75200
2000-04-30,Illinois,129300,101,234600,131700,131700,131500,207400,72000,269400,106500,132400,103800
2000-04-30,Indiana,93000,62,149800,89100,89100,88900,NA,55900,148300,63500,102800,51500
2000-04-30,Iowa,87700,68,129800,73800,73800,72700,106100,55000,NA,69200,98800,61800
2000-04-30,Kentucky,99300,69,165500,93400,93400,93000,161300,57800,186500,78000,99200,64800
2000-04-30,Louisiana,107000,NA,140500,NA,NA,NA,NA,55500,NA,NA,NA,NA
2000-04-30,Maine,126100,89,205500,118300,118300,118900,156600,72700,192200,107700,113900,NA
2000-04-30,Maryland,129200,92,241800,138300,138300,145300,193200,80300,270200,96800,115700,80100
2000-04-30,Massachusetts,189600,126,335600,192900,192900,200900,278600,120900,370400,151300,156500,124100
2000-04-30,Michigan,132000,93,198900,115000,115000,112000,220400,67100,212700,99500,150000,83100
2000-04-30,Minnesota,135400,105,206800,129800,129800,131300,169600,83800,216600,114400,119300,82500
2000-04-30,Mississippi,81300,46,131500,73800,73800,73800,141000,43100,145400,NA,NA,NA
2000-04-30,Missouri,116400,78,182500,107500,107500,108700,189300,66200,239300,77200,94100,60400
2000-04-30,Montana,105000,80,142800,99900,99900,100900,115200,69500,133700,81000,91800,68200
2000-04-30,Nebraska,108100,74,164000,101600,101600,101400,161200,63400,132500,76900,103500,65000
2000-04-30,Nevada,135300,85,219000,139500,139500,148700,170800,98200,239200,104600,95400,NA
2000-04-30,NewHampshire,144800,85,214300,134800,134800,143800,189500,83400,209400,106400,104000,70200
2000-04-30,NewJersey,154800,102,292200,167100,167100,170600,224300,99500,285000,127100,115400,100600
2000-04-30,NewMexico,120400,76,198900,133600,133600,134100,159900,98100,202800,98300,NA,NA
2000-04-30,NewYork,91500,NA,NA,NA,NA,NA,NA,69000,197200,75600,NA,NA
2000-04-30,NorthCarolina,113900,74,201700,115000,115000,115400,189500,65900,236700,77200,109500,71900
2000-04-30,Ohio,104200,73,176300,104300,104300,105200,163500,63600,179900,75600,96700,59000
2000-04-30,Oklahoma,69900,47,122800,66900,66900,67100,124600,36800,145900,37800,49800,33800
2000-04-30,Oregon,146000,98,230700,147100,147100,147900,190600,101000,223200,116500,132600,102000
2000-04-30,Pennsylvania,94000,68,169600,92500,92500,99400,170400,49900,163200,76400,56700,65000
2000-04-30,RhodeIsland,136000,98,221800,134500,134500,136500,188900,94700,251100,113100,108200,88600
2000-04-30,SouthCarolina,108000,65,188600,97800,97800,96300,175100,54400,NA,76900,111000,76200
2000-04-30,SouthDakota,101500,80,155500,100800,100800,100800,116700,72700,154300,85500,102500,62300
2000-04-30,Tennessee,100900,59,166200,86900,86900,86000,178700,48300,258200,65600,106800,65800
2000-04-30,Texas,89600,56,171700,94900,94900,95900,150500,NA,NA,NA,NA,NA
2000-04-30,Utah,150500,110,238500,155900,155900,159700,169300,118900,210500,122400,135600,NA
2000-04-30,Vermont,125600,78,173000,NA,NA,NA,150400,NA,164900,102500,107400,92200
2000-04-30,Virginia,117100,79,242600,128400,128400,128100,197400,75200,276100,86400,128700,82700
2000-04-30,Washington,168300,104,281800,167300,167300,169300,223300,103200,260200,134900,148700,118100
2000-04-30,WestVirginia,61800,42,89500,48600,48600,48400,81100,NA,90900,NA,74000,NA
2000-04-30,Wisconsin,116500,80,180400,115500,115500,115600,145400,79500,168200,91900,113500,83800
2000-04-30,Wyoming,NA,80,NA,107400,107400,107700,118100,79900,NA,NA,103000,NA
2000-05-31,Alabama,92800,56,161900,91700,91700,91200,172500,49100,238300,56300,111700,65100
2000-05-31,Alaska,171700,115,239100,171600,171600,178800,214700,128200,274900,121600,123000,90300
2000-05-31,Arizona,121400,76,212000,126600,126600,131500,162500,81700,239300,105400,93700,72200
2000-05-31,Arkansas,86400,47,128200,71900,71900,71700,149500,41600,229600,61300,84100,62000
2000-05-31,California,197200,136,408700,212300,212300,217100,267900,118500,366900,164300,189600,127800
2000-05-31,Colorado,171800,113,289600,171900,171900,178400,236100,115100,278400,137400,136400,106900
2000-05-31,Connecticut,159400,105,308500,161800,161800,172800,252200,99400,404200,116300,100800,75300
2000-05-31,Delaware,118700,82,199300,123800,123800,124000,185700,81500,217500,94200,NA,87400
2000-05-31,DistrictofColumbia,137900,129,345900,144200,144200,163200,218700,88000,547500,147700,138900,125200
2000-05-31,Florida,108000,68,191400,104300,104300,112500,160600,61200,250100,76600,82100,51200
2000-05-31,Georgia,112800,69,212300,119100,119100,118500,185500,71400,268500,84300,127300,114700
2000-05-31,Hawaii,219100,170,362900,214900,214900,254000,284600,115200,328200,168900,154700,130300
2000-05-31,Idaho,110700,72,181500,113800,113800,114100,137100,79900,166100,83900,103000,75200
2000-05-31,Illinois,129900,102,236400,132400,132400,132100,208600,72400,271000,107400,133800,105400
2000-05-31,Indiana,93400,62,150300,89400,89400,89100,NA,56000,148500,63700,103300,51400
2000-05-31,Iowa,88400,68,130500,74500,74500,73400,107300,55700,NA,69600,98900,62100
2000-05-31,Kentucky,99800,68,166400,93800,93800,93500,161900,57500,187600,78200,99500,65100
2000-05-31,Louisiana,107600,NA,141500,NA,NA,NA,NA,55100,NA,NA,NA,NA
2000-05-31,Maine,127300,90,207500,119500,119500,120300,158900,73200,194600,108200,114200,NA
2000-05-31,Maryland,130000,92,243600,139000,139000,146000,194400,80600,272400,97300,116100,80700
2000-05-31,Massachusetts,192200,128,340000,195700,195700,203700,282200,122100,375100,153200,158700,126100
2000-05-31,Michigan,132500,94,200400,115600,115600,112800,221700,67300,214400,100300,151200,83900
2000-05-31,Minnesota,136900,106,209300,131100,131100,132600,171400,84300,219100,115700,120500,83400
2000-05-31,Mississippi,81300,46,131000,73500,73500,73500,140400,42700,144900,NA,NA,NA
2000-05-31,Missouri,117100,79,183500,108000,108000,109100,190300,66300,241600,77500,94500,60700
2000-05-31,Montana,104900,80,143600,100000,100000,101000,115300,69600,134200,81200,92200,68600
2000-05-31,Nebraska,108500,74,164500,102400,102400,102200,161400,63900,132600,77400,104500,65500
2000-05-31,Nevada,135400,85,219700,139900,139900,149200,171400,98900,239500,105200,95800,NA
2000-05-31,NewHampshire,146100,86,216600,136000,136000,145000,191500,84300,211900,107700,105300,71200
2000-05-31,NewJersey,156200,103,295500,168500,168500,172000,226600,100200,288100,128200,116600,102000
2000-05-31,NewMexico,120900,76,198300,131500,131500,132100,159900,98200,203100,98900,NA,NA
2000-05-31,NewYork,91900,NA,NA,NA,NA,NA,NA,69200,199300,76000,NA,NA
2000-05-31,NorthCarolina,114500,74,203000,115500,115500,115900,190400,66100,237700,77400,109800,72400
2000-05-31,Ohio,104700,73,177000,105100,105100,105700,164200,63800,180600,75900,97200,59100
2000-05-31,Oklahoma,70100,47,123100,67100,67100,67300,125000,36800,146800,37900,49900,33900
2000-05-31,Oregon,146700,99,232000,147600,147600,148700,191400,101300,224300,116900,133300,102300
2000-05-31,Pennsylvania,94300,68,170500,92800,92800,99800,171300,49900,164100,76500,56800,65300
2000-05-31,RhodeIsland,136800,99,224600,135300,135300,137300,190700,95500,254200,114100,109400,89500
2000-05-31,SouthCarolina,108700,66,189600,98700,98700,96800,176100,54600,NA,77400,112600,77200
2000-05-31,SouthDakota,102400,80,156600,101700,101700,101700,117500,73300,155000,86200,103500,62300
2000-05-31,Tennessee,101300,60,167000,87200,87200,86300,179000,48600,259300,65800,107100,66100
2000-05-31,Texas,89900,57,172400,95300,95300,96100,150800,NA,NA,NA,NA,NA
2000-05-31,Utah,151000,111,239100,156500,156500,160100,169800,119700,210300,122600,136100,NA
2000-05-31,Vermont,126400,78,174000,NA,NA,NA,151400,NA,164700,103200,106800,92500
2000-05-31,Virginia,117800,80,245000,129000,129000,128700,198800,75300,279000,86900,129600,83500
2000-05-31,Washington,169100,104,283600,167900,167900,170000,224500,103700,261600,135700,149600,118700
2000-05-31,WestVirginia,61800,42,90000,48500,48500,48400,81500,NA,91500,NA,74600,NA
2000-05-31,Wisconsin,117200,81,181300,115900,115900,116100,146100,79600,168800,92400,114300,84500
2000-05-31,Wyoming,NA,80,NA,107800,107800,108000,118400,79800,NA,NA,102900,NA
2000-06-30,Alabama,93400,57,162800,92000,92000,91400,173600,49300,239100,56700,112400,65400
2000-06-30,Alaska,173000,117,240800,172900,172900,180300,216300,130500,275700,123200,124800,91300
2000-06-30,Arizona,122200,76,213600,127200,127200,132100,163300,82000,241500,106100,93900,72100
2000-06-30,Arkansas,86900,47,129000,72200,72200,71900,150600,42000,232700,61500,84700,62300
2000-06-30,California,199500,137,414800,215000,215000,219400,270800,119500,371300,166100,192200,130100
2000-06-30,Colorado,173600,115,292300,173600,173600,180200,238500,116300,280800,139200,137900,108400
2000-06-30,Connecticut,160600,106,312500,163100,163100,174200,254700,100300,409100,117100,101800,75900
2000-06-30,Delaware,119600,83,200300,124600,124600,124700,186800,82000,218800,94500,NA,88100
2000-06-30,DistrictofColumbia,140900,132,354800,147600,147600,166600,224700,89800,563100,150900,142000,129200
2000-06-30,Florida,108700,69,193200,105100,105100,113300,161600,61600,252400,77200,82700,51800
2000-06-30,Georgia,113700,70,214200,119800,119800,119300,186700,71900,270400,85000,128400,115500
2000-06-30,Hawaii,220400,171,365200,216200,216200,255500,286100,116300,330100,170100,155700,130000
2000-06-30,Idaho,111000,72,182300,114200,114200,114500,137600,79800,167200,84100,103100,75100
2000-06-30,Illinois,130600,102,238200,133300,133300,132800,209900,72800,272900,108200,135100,107000
2000-06-30,Indiana,93500,62,150800,89800,89800,89300,NA,56000,148900,63600,103600,51100
2000-06-30,Iowa,89000,69,131200,75000,75000,73900,108600,56700,NA,70200,99300,62700
2000-06-30,Kentucky,100300,69,166800,94000,94000,93800,162300,57700,188500,78400,99700,65200
2000-06-30,Louisiana,108800,NA,143300,NA,NA,NA,NA,54900,NA,NA,NA,NA
2000-06-30,Maine,129100,91,210200,120900,120900,121800,161600,73800,198100,109400,114800,NA
2000-06-30,Maryland,130500,93,245300,139700,139700,146700,195500,80800,274300,97900,116400,80800
2000-06-30,Massachusetts,194800,130,344800,198800,198800,206600,286000,123300,379900,155200,161100,128500
2000-06-30,Michigan,133300,95,201800,116400,116400,113500,223000,67300,216000,100900,151800,84500
2000-06-30,Minnesota,138400,107,211900,132500,132500,133900,173100,84900,221800,117000,122100,84200
2000-06-30,Mississippi,81200,47,131200,73600,73600,73600,141000,42700,146000,NA,NA,NA
2000-06-30,Missouri,117500,79,184400,108600,108600,109800,191300,66600,243200,78100,95200,61100
2000-06-30,Montana,105000,80,144400,99900,99900,100900,115500,70500,135000,81600,92100,69600
2000-06-30,Nebraska,109200,75,165400,103100,103100,103100,162400,64300,133100,77900,105600,66000
2000-06-30,Nevada,135800,86,220100,140400,140400,149900,171800,99400,239700,105700,96200,NA
2000-06-30,NewHampshire,147700,87,219400,137200,137200,146300,193500,85300,215200,109000,106900,72600
2000-06-30,NewJersey,157500,104,298900,170000,170000,173600,228700,100800,291400,129400,117900,103600
2000-06-30,NewMexico,122200,76,197600,132300,132300,132700,160900,98500,204400,99800,NA,NA
2000-06-30,NewYork,92300,NA,NA,NA,NA,NA,NA,69400,201300,76300,NA,NA
2000-06-30,NorthCarolina,115000,74,204400,115900,115900,116300,191400,66300,239100,77800,110100,72700
2000-06-30,Ohio,105200,73,177700,105700,105700,106200,164700,64000,181300,76300,97800,59500
2000-06-30,Oklahoma,70300,47,123600,67300,67300,67700,125300,36900,147900,37900,49700,33900
2000-06-30,Oregon,147300,99,233300,148300,148300,149300,192300,101800,225500,117300,133500,103000
2000-06-30,Pennsylvania,94700,69,171400,93200,93200,100300,172300,50000,164900,76800,57000,65700
2000-06-30,RhodeIsland,137800,100,227500,136200,136200,138300,192600,96400,257400,115200,111100,90500
2000-06-30,SouthCarolina,109300,66,190200,99300,99300,97200,176900,54800,NA,77800,114100,77800
2000-06-30,SouthDakota,104100,81,158100,103500,103500,103500,118800,74100,155700,87100,105600,62300
2000-06-30,Tennessee,101600,60,167800,87500,87500,86500,179300,48800,260200,66100,107400,66500
2000-06-30,Texas,89900,57,173100,95500,95500,96200,150900,NA,NA,NA,NA,NA
2000-06-30,Utah,151500,110,239600,157100,157100,160500,169900,120300,210400,122900,136700,NA
2000-06-30,Vermont,127400,77,175000,NA,NA,NA,151800,NA,163300,104400,107200,94000
2000-06-30,Virginia,118400,80,247600,129600,129600,129400,200300,75600,281900,87600,130700,84400
